iso,year,quarter,date,qGDP_growth,qGDP_growth_res,date_fe,dNL_res,dhits_res
"AZE",2019,4,2019q4,1.580295,-1.287032,2.867327,24.41322,1.464642
"AZE",2020,1,2020q1,1.448065,.5689135,.8791518,-13.89286,-6.606559
"AZE",2020,2,2020q2,-3.46834,7.285939,-10.75428,-28.12101,-23.15025
"AZE",2020,3,2020q3,-6.989497,-2.999595,-3.989902,-11.57797,53.75841
"AZE",2020,4,2020q4,-6.327561,-4.4646,-1.862961,-23.65846,93.19062
"AZE",2021,1,2021q1,-1.310795,-2.403252,1.092458,-1.718826,18.62375
"AZE",2021,2,2021q2,5.345953,-6.3961,11.74205,41.04567,31.66217
"BEN",2014,1,2014q1,4.783733,1.090915,3.692818,-18.48688,1.866933
"BEN",2014,2,2014q2,6.578774,2.911173,3.667601,-30.77411,-13.87415
"BEN",2014,3,2014q3,6.203539,2.348602,3.854937,-4.219059,2.547679
"BEN",2014,4,2014q4,3.825871,-.0009878,3.826859,-29.07225,-4.425519
"BEN",2015,1,2015q1,5.543471,2.17506,3.368411,8.525518,-3.805827
"BEN",2015,2,2015q2,1.882175,-1.105421,2.987597,17.97394,17.41209
"BEN",2015,3,2015q3,1.587335,-1.737356,3.32469,11.2203,1.539914
"BEN",2015,4,2015q4,1.882175,-.7895299,2.671705,26.65403,10.30185
"BEN",2016,1,2016q1,2.761517,-.6103866,3.371903,-21.70212,22.88122
"BEN",2016,2,2016q2,3.633193,.2093792,3.423814,-13.00883,4.906792
"BEN",2016,3,2016q3,4.305949,1.098955,3.206994,-51.25851,10.31083
"BEN",2016,4,2016q4,4.974209,1.010607,3.963602,-2.342808,-2.257179
"BEN",2017,1,2017q1,5.259245,1.47157,3.787675,43.43286,-29.33817
"BEN",2017,2,2017q2,5.638033,1.994857,3.643177,67.6871,-17.53119
"BEN",2017,3,2017q3,5.826891,1.772673,4.054218,74.65056,-24.45884
"BEN",2017,4,2017q4,6.015392,2.145116,3.870277,53.0542,-16.03023
"BEN",2018,1,2018q1,6.10951,2.139139,3.970371,2.950547,1.530839
"BEN",2018,2,2018q2,6.29748,2.54711,3.750371,-.133546,-7.828038
"BEN",2018,3,2018q3,6.578774,3.03195,3.546824,30.65481,7.517689
"BEN",2018,4,2018q4,6.859279,3.807231,3.052048,-1.762863,23.96002
"BEN",2019,1,2019q1,6.485097,3.609869,2.875228,.3716191,15.15877
"BEN",2019,2,2019q2,7.045846,3.715936,3.329911,-32.14286,37.15073
"BEN",2019,3,2019q3,6.672363,3.356799,3.315564,-47.77105,32.9566
"BEN",2019,4,2019q4,5.732507,2.86518,2.867327,-18.25929,-12.97711
"BEN",2020,1,2020q1,5.354077,4.474925,.8791518,6.854168,-20.58764
"BEN",2020,2,2020q2,3.246719,14.001,-10.75428,20.16308,-19.86066
"BEN",2020,3,2020q3,2.664193,6.654095,-3.989902,33.74237,-26.13016
"BEN",2020,4,2020q4,3.729578,5.59254,-1.862961,28.493,2.251878
